student_id,first_name,last_name,sex,department,major,minor,gpa,location,commute,high_school_score,year,graduated_in_4_years
25958659,Sophia,Lopez,Female,Business,Accounting,Film Studies,1.74,Harlingen,No,69,2024,No
56987115,Ella,Torres,Female,Civil,Structural Engineering,Project Management,1.26,Edinburg,Yes,55,2024,No
10815359,Hannah,Ramirez,Female,Arts,Theater,Entrepreneurship,1.27,Edinburg,No,39,2024,No
45379817,Chloe,White,Female,Computers,Computer Science,Health Science,3.35,Edinburg,Yes,83,2024,Yes
27738070,Lucia,Wright,Female,Arts,Music,Film Studies,2.38,Harlingen,No,74,2024,No
65338491,Zoey,Sanchez,Female,Arts,Graphic Design,Health Science,2.26,Harlingen,Yes,75,2024,No
11979500,Samuel,Johnson,Male,Civil,Transportation Engineering,Communication,3.09,Edinburg,No,83,2024,No
77370060,Eleanor,Kim,Female,Arts,Philosophy,Cybersecurity,1.81,Brownsville,No,51,2024,No
57266648,Kai,Taylor,Male,Business,Entrepreneurship,Health Science,2.95,Harlingen,No,64,2024,No
31021526,Owen,White,Male,Business,Accounting,Psychology,2.51,Harlingen,No,54,2024,Yes
88107696,Oliver,Wang,Male,Civil,Urban Planning,Project Management,2.08,Brownsville,Yes,53,2024,No
80336777,Ava,Allen,Female,Engineering,Electrical Engineering,Psychology,2.52,Brownsville,No,65,2024,Yes
70074074,Layla,Lopez,Female,Mechanical,Automotive Engineering,Environmental Science,3.4,Brownsville,Yes,71,2024,Yes
59965663,Camila,Ramirez,Female,Business,Marketing,Sociology,2.23,Brownsville,Yes,61,2024,No
55235032,Alexander,Hill,Male,Mechanical,Thermodynamics,Project Management,1.34,Edinburg,No,55,2024,No
87972651,Ravi,Martinez,Male,Mechanical,HVAC Engineering,Ethics,1.17,Edinburg,Yes,53,2024,No
16379889,William,Anderson,Male,Engineering,Chemical Engineering,Entrepreneurship,2.01,Brownsville,Yes,63,2024,No
40010629,Amelia,Allen,Female,Arts,Graphic Design,Ethics,3.29,Brownsville,Yes,75,2024,No
92993970,Daniel,Lee,Male,Engineering,Biomedical Engineering,Foreign Language,2.44,Harlingen,Yes,54,2024,No
90658710,Ella,Kim,Female,Computers,Information Technology,Entrepreneurship,3.29,Brownsville,No,88,2024,Yes
42971075,Nora,Davis,Female,Medicine,Nursing,Entrepreneurship,1.58,Harlingen,No,67,2024,No
44747862,Jin,Hill,Male,Engineering,Chemical Engineering,Mathematics,3.49,Edinburg,Yes,69,2024,No
94622374,Ananya,Robinson,Female,Engineering,Aerospace Engineering,Sociology,3.46,Brownsville,Yes,79,2024,Yes
54136578,Abigail,Sharma,Female,Business,Accounting,Ethics,2.36,Edinburg,Yes,78,2024,No
36725110,Layla,Garcia,Female,Medicine,Pre-Medicine,Data Analytics,3.53,Edinburg,No,75,2024,Yes
32554930,Luna,Choi,Female,Engineering,Aerospace Engineering,Sociology,1.79,Edinburg,No,46,2024,No
48205095,Maria,Harris,Female,Arts,Philosophy,Public Relations,3.31,Brownsville,No,83,2024,Yes
57111943,Ella,Sharma,Female,Civil,Structural Engineering,Statistics,3.13,Harlingen,Yes,69,2024,Yes
20818053,Fatima,Rodriguez,Female,Medicine,Nursing,Political Science,2.54,Harlingen,No,77,2024,Yes
49354941,Ricardo,Moore,Male,Medicine,Nursing,Political Science,3.4,Harlingen,No,71,2024,Yes
94049956,Victoria,Robinson,Female,Medicine,Pharmacy,Public Relations,2.93,Edinburg,No,79,2024,No
78706406,Camila,Ramirez,Female,Arts,Philosophy,Statistics,3.23,Harlingen,No,92,2024,No
46782282,Scarlett,Nguyen,Female,Mechanical,HVAC Engineering,Leadership Studies,3.35,Harlingen,No,67,2024,No
33464936,Ananya,Singh,Female,Mechanical,HVAC Engineering,Health Science,2.01,Edinburg,Yes,46,2024,No
87712761,Madison,Park,Female,Medicine,Pharmacy,Mathematics,3.01,Edinburg,No,88,2024,Yes
96838905,Lucia,Garcia,Female,Mechanical,HVAC Engineering,Mathematics,2.5,Edinburg,Yes,78,2024,Yes
80813796,Lucas,Brown,Male,Engineering,Chemical Engineering,Data Analytics,2.33,Harlingen,Yes,66,2024,No
11210283,Fatima,Smith,Female,Mechanical,Robotics,Data Analytics,3.5,Brownsville,No,76,2024,Yes
85913228,Emily,Sanchez,Female,Mechanical,Robotics,Spanish,2.24,Harlingen,Yes,49,2024,No
21825549,Ethan,Choi,Male,Engineering,Biomedical Engineering,Public Relations,3.69,Harlingen,Yes,92,2024,Yes
44569328,Penelope,Davis,Female,Arts,Graphic Design,Health Science,2.92,Edinburg,No,62,2024,No
40471852,Lucia,Sharma,Female,Business,Human Resources,Cybersecurity,2.75,Harlingen,No,58,2024,No
95605756,Ana,Sanchez,Female,Medicine,Pharmacy,Data Analytics,1.26,Edinburg,Yes,49,2024,No
59660045,Ananya,Gonzalez,Female,Arts,Philosophy,Ethics,2.66,Harlingen,No,59,2024,Yes
82557916,Ella,King,Female,Arts,Graphic Design,Journalism,1.7,Brownsville,No,57,2024,No
28326089,Ahmed,Choi,Male,Computers,Information Technology,Cybersecurity,2.2,Edinburg,No,57,2024,No
76100809,Jackson,Lee,Male,Engineering,Chemical Engineering,Political Science,2.52,Brownsville,No,58,2024,Yes
57862585,Omar,Ramirez,Male,Medicine,Public Health,Sociology,2.57,Harlingen,No,66,2024,Yes
22004842,Emily,Nguyen,Female,Civil,Urban Planning,Entrepreneurship,3.16,Harlingen,No,88,2024,Yes
43924106,Oliver,Martin,Male,Civil,Environmental Engineering,Mathematics,2.64,Brownsville,Yes,60,2024,No
84049394,Ravi,Anderson,Male,Mechanical,Robotics,Environmental Science,1.94,Harlingen,No,52,2024,No
20449649,Isabella,Kim,Female,Arts,Fine Arts,Ethics,2.76,Brownsville,No,74,2024,Yes
96226664,Sebastian,Jones,Male,Business,Entrepreneurship,Psychology,1.14,Harlingen,No,54,2024,No
18192043,Hannah,Thompson,Female,Computers,Cybersecurity,Entrepreneurship,3.27,Edinburg,No,93,2024,No
95581018,Mateo,Williams,Male,Business,Economics,Political Science,2.43,Harlingen,No,62,2024,No
85271969,Arjun,Patel,Male,Business,Human Resources,Foreign Language,3.12,Harlingen,No,64,2024,Yes
52544455,Emily,Martinez,Female,Computers,Cybersecurity,Leadership Studies,3.78,Edinburg,Yes,88,2024,Yes
39664132,William,Harris,Male,Business,Finance,Communication,1.92,Harlingen,No,66,2024,No
55720857,Elijah,Anderson,Male,Arts,Theater,Sociology,2.6,Edinburg,No,64,2024,No
31835005,Camila,Rodriguez,Female,Civil,Transportation Engineering,Ethics,1.42,Edinburg,No,38,2024,No
31446787,Arjun,Ramirez,Male,Engineering,Industrial Engineering,Psychology,2.09,Harlingen,No,51,2024,No
43189807,Jordan,Jones,Male,Business,Accounting,Journalism,3.99,Edinburg,Yes,94,2024,Yes
39437234,Michael,Walker,Male,Computers,Data Science,Spanish,2.93,Harlingen,No,82,2024,Yes
23663461,Benjamin,Choi,Male,Business,Finance,Mathematics,2.56,Edinburg,Yes,60,2024,Yes
90644920,Luna,Jones,Female,Arts,English Literature,Health Science,3.2,Harlingen,Yes,84,2024,Yes
44429266,Sebastian,Harris,Male,Business,Marketing,Environmental Science,3.13,Edinburg,Yes,87,2024,Yes
92305521,Ryan,Taylor,Male,Business,Entrepreneurship,Sociology,1.62,Brownsville,No,69,2024,No
42015166,Ella,Gonzalez,Female,Civil,Transportation Engineering,Data Analytics,2.86,Brownsville,No,59,2024,No
66831569,Ella,Johnson,Female,Computers,Data Science,Film Studies,3.09,Edinburg,Yes,79,2024,Yes
52036992,Emily,Sharma,Female,Computers,Data Science,Political Science,3.5,Brownsville,Yes,81,2024,Yes
53624468,Grace,Wang,Female,Mechanical,Automotive Engineering,Health Science,2.53,Edinburg,Yes,63,2024,No
14213784,Ravi,Thompson,Male,Arts,Fine Arts,Entrepreneurship,2.17,Brownsville,Yes,65,2024,No
