student_id,first_name,last_name,sex,department,major,minor,gpa,location,commute,high_school_score,year,graduated_in_4_years
36035450,Emma,Park,Female,Arts,Philosophy,Environmental Science,2.53,Brownsville,No,70,2022,Yes
82704551,Samuel,Torres,Male,Engineering,Chemical Engineering,Mathematics,2.72,Harlingen,Yes,57,2022,Yes
62831975,Hannah,King,Female,Civil,Environmental Engineering,Data Analytics,1.42,Edinburg,No,46,2022,No
58895109,Olivia,Patel,Female,Computers,Data Science,Ethics,1.17,Brownsville,Yes,54,2022,No
73353874,Noah,Johnson,Male,Computers,Information Technology,Leadership Studies,2.84,Brownsville,No,61,2022,Yes
32482491,Zoey,Patel,Female,Engineering,Biomedical Engineering,Public Relations,3.47,Harlingen,Yes,76,2022,Yes
69949462,James,Flores,Male,Medicine,Biomedical Sciences,Mathematics,3.98,Brownsville,No,98,2022,Yes
21456853,Jin,Sanchez,Male,Computers,Artificial Intelligence,Ethics,3.85,Brownsville,Yes,87,2022,Yes
54205971,Carlos,Sanchez,Male,Computers,Cybersecurity,Ethics,1.54,Edinburg,Yes,58,2022,No
22256108,Victoria,Nguyen,Female,Mechanical,HVAC Engineering,Leadership Studies,3.49,Brownsville,No,70,2022,No
80960176,Oliver,Moore,Male,Medicine,Nursing,Environmental Science,3.68,Edinburg,Yes,79,2022,Yes
84948260,Henry,Martin,Male,Arts,Theater,Ethics,2.24,Harlingen,No,76,2022,Yes
93607253,Lillian,White,Female,Computers,Cybersecurity,Mathematics,2.65,Brownsville,No,67,2022,No
15524460,Jackson,Walker,Male,Civil,Environmental Engineering,Data Analytics,1.97,Edinburg,Yes,53,2022,No
76459625,Omar,Sanchez,Male,Arts,Fine Arts,Psychology,3.57,Brownsville,Yes,83,2022,Yes
70344026,Jin,Scott,Male,Business,Marketing,Cybersecurity,2.9,Harlingen,Yes,75,2022,Yes
35395644,Ahmed,Scott,Male,Arts,History,Cybersecurity,1.19,Brownsville,No,37,2022,No
23076866,Noah,Scott,Male,Mechanical,Manufacturing Engineering,Film Studies,3.29,Harlingen,No,67,2022,Yes
96048068,Nathan,Garcia,Male,Engineering,Industrial Engineering,Leadership Studies,3.36,Edinburg,No,65,2022,Yes
78785451,Benjamin,Robinson,Male,Medicine,Public Health,Foreign Language,2.74,Harlingen,Yes,57,2022,No
75378637,Ravi,Martinez,Male,Business,Finance,Statistics,2.59,Brownsville,No,71,2022,Yes
56282848,Victoria,Martinez,Female,Arts,English Literature,Leadership Studies,3.68,Harlingen,No,98,2022,Yes
55515536,Luna,Kumar,Female,Medicine,Biomedical Sciences,Project Management,1.62,Edinburg,No,46,2022,No
43013427,Rahul,Young,Male,Business,Management,Environmental Science,3.0,Harlingen,No,61,2022,Yes
84291956,Ricardo,Scott,Male,Business,Human Resources,Leadership Studies,3.12,Edinburg,Yes,85,2022,Yes
54662567,Miguel,Nguyen,Male,Arts,Music,Psychology,3.11,Edinburg,Yes,78,2022,Yes
88686488,Elizabeth,Lee,Female,Business,Economics,Spanish,2.89,Harlingen,Yes,82,2022,Yes
20316667,Arjun,White,Male,Business,Accounting,Public Relations,1.8,Brownsville,Yes,50,2022,No
37928705,Lucas,Chen,Male,Arts,Music,Political Science,3.92,Harlingen,Yes,74,2022,No
63524431,Olivia,King,Female,Computers,Computer Science,Leadership Studies,3.08,Brownsville,Yes,72,2022,No
13080501,Ava,Smith,Female,Computers,Data Science,Cybersecurity,3.7,Harlingen,Yes,99,2022,Yes
56491990,Nora,Choi,Female,Engineering,Electrical Engineering,Psychology,2.85,Edinburg,Yes,87,2022,No
97666027,Nathan,Hill,Male,Arts,English Literature,Leadership Studies,3.62,Brownsville,No,93,2022,Yes
92638115,Charlotte,Hernandez,Female,Civil,Geotechnical Engineering,Spanish,2.44,Brownsville,No,56,2022,No
75861116,Jackson,Hill,Male,Business,Human Resources,Environmental Science,2.54,Brownsville,No,81,2022,Yes
17921677,Kai,Park,Male,Mechanical,Thermodynamics,Ethics,3.18,Edinburg,No,66,2022,No
84424989,Nathan,Kim,Male,Business,Finance,Statistics,3.43,Harlingen,No,68,2022,Yes
98477725,Michael,Brown,Male,Mechanical,Automotive Engineering,Political Science,2.15,Edinburg,No,48,2022,No
89675205,Jackson,Flores,Male,Arts,Music,Public Relations,3.55,Harlingen,No,89,2022,Yes
20870871,Liam,Brown,Male,Computers,Cybersecurity,Project Management,2.25,Harlingen,Yes,69,2022,No
82497705,Olivia,Williams,Female,Arts,Graphic Design,Environmental Science,2.81,Edinburg,No,71,2022,No
16481572,Madison,Moore,Female,Arts,Theater,Foreign Language,2.95,Harlingen,Yes,78,2022,No
66496277,James,Taylor,Male,Engineering,Electrical Engineering,Statistics,2.71,Edinburg,Yes,73,2022,No
16260941,Fatima,Martinez,Female,Business,Human Resources,Environmental Science,3.88,Edinburg,Yes,91,2022,Yes
86856733,William,Hill,Male,Engineering,Biomedical Engineering,Data Analytics,1.51,Brownsville,No,51,2022,No
19743677,Jordan,Jackson,Male,Civil,Environmental Engineering,Political Science,3.37,Edinburg,Yes,88,2022,Yes
64384361,Elijah,Flores,Male,Medicine,Pharmacy,Statistics,2.75,Brownsville,No,68,2022,Yes
85531879,Emily,Kumar,Female,Arts,Music,Cybersecurity,3.09,Brownsville,Yes,88,2022,Yes
13259212,Elijah,King,Male,Mechanical,Automotive Engineering,Film Studies,3.17,Harlingen,No,80,2022,Yes
37406543,William,Lewis,Male,Business,Management,Psychology,2.66,Edinburg,No,83,2022,Yes
72393237,Lily,Allen,Female,Arts,Theater,Entrepreneurship,2.42,Harlingen,No,72,2022,No
85792975,Emily,Sanchez,Female,Computers,Artificial Intelligence,Environmental Science,2.86,Edinburg,Yes,73,2022,Yes
34229922,Omar,Lopez,Male,Arts,Music,Foreign Language,2.18,Brownsville,Yes,63,2022,No
43657836,Alexander,Johnson,Male,Arts,Theater,Public Relations,2.32,Brownsville,Yes,59,2022,No
34407336,Scarlett,Scott,Female,Civil,Transportation Engineering,Cybersecurity,3.81,Harlingen,Yes,74,2022,No
67155648,Valentina,Perez,Female,Medicine,Pre-Medicine,Sociology,2.36,Edinburg,Yes,67,2022,No
25253123,Jackson,Flores,Male,Medicine,Biomedical Sciences,Leadership Studies,3.0,Brownsville,No,78,2022,Yes
28041127,Ethan,Wilson,Male,Computers,Artificial Intelligence,Sociology,2.09,Harlingen,No,62,2022,No
77357626,Marcus,Singh,Male,Engineering,Biomedical Engineering,Political Science,3.21,Brownsville,No,73,2022,Yes
